date,alor-gajah,central-melaka,jasin,under-investigation,total-melaka,,,,,
21/3/2020,6,5,11,0,22,,,,,
24/3/2020,6,7,15,2,30,,,,,
25/3/2020,8,7,16,2,33,,,,,
26/3/2020,8,7,16,2,33,,,,,
27/3/2020,8,7,16,2,33,,,,,
28/3/2020,9,16,17,0,42,,,,,
29/3/2020,9,16,18,0,43,,,,,
30/3/2020,14,18,18,0,50,,,,,
31/3/2020,14,19,19,0,52,,,,,
1/4/2020,18,21,24,0,63,,,,,
2/4/2020,20,22,28,0,70,,,,,
3/4/2020,21,24,28,0,73,,,,,
4/4/2020,21,26,28,0,75,,,,,
5/4/2020,23,28,38,0,89,,,,,
6/4/2020,26,32,41,0,99,,,,,
7/4/2020,25,36,42,0,103,,,,,
8/4/2020,27,36,53,0,116,,,,,
9/4/2020,28,37,54,0,119,,,,,
10/4/2020,28,44,61,0,133,,,,,
11/4/2020,28,46,67,0,141,,,,,
12/4/2020,28,48,68,0,144,,,,,
13/4/2020,28,48,68,0,144,,,,,
14/4/2020,28,51,68,0,147,,,,,
15/4/2020,28,51,68,0,147,,,,,
16/4/2020,28,51,68,0,147,,,,,
17/4/2020,29,51,68,0,148,,,,,
18/4/2020,29,51,68,0,148,,,,,
19/4/2020,29,88,68,0,185,,,,,
20/4/2020,29,89,69,0,187,,,,,
21/4/2020,29,89,70,0,188,,,,,
22/4/2020,29,89,71,0,189,,,,,
23/4/2020,29,89,71,0,189,,,,,
24/4/2020,29,91,72,0,192,,,,,
25/4/2020,29,91,72,0,192,,,,,
26/4/2020,29,92,72,0,193,,,,,
27/4/2020,29,92,72,0,193,,,,,
28/4/2020,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
