date,batang-padang,central-perak,hillir-perak,hulu-perak,kampar,kerian,kinta,kuala-kangsar,larut-matang-selama,manjung,muallim,total-perak
21/3/2020,1,6,13,0,0,7,21,0,3,4,0,55
24/3/2020,1,7,32,2,0,7,34,0,5,7,1,96
25/3/2020,3,7,48,5,0,9,41,1,5,8,1,128
26/3/2020,3,7,52,5,0,9,56,1,8,9,1,151
27/3/2020,3,7,53,5,0,9,63,1,8,9,1,159
28/3/2020,3,7,53,5,0,12,66,1,8,9,1,165
29/3/2020,3,7,52,5,0,13,75,1,10,9,1,176
30/3/2020,3,7,56,5,0,13,76,1,11,11,1,184
31/3/2020,3,7,57,5,0,13,77,2,11,12,2,189
1/4/2020,3,7,60,5,0,13,77,2,12,13,2,194
2/4/2020,3,7,61,5,0,13,79,2,14,14,2,200
3/4/2020,3,7,61,5,0,13,82,2,15,15,2,205
4/4/2020,3,7,61,5,0,13,82,2,16,16,2,207
5/4/2020,3,7,65,5,0,13,84,2,16,16,2,213
6/4/2020,3,9,65,6,0,13,87,2,16,16,2,219
7/4/2020,3,9,66,6,0,16,93,2,17,16,5,233
8/4/2020,3,9,66,6,0,16,94,2,17,19,5,237
9/4/2020,3,9,66,6,0,16,97,2,18,19,5,241
10/4/2020,3,9,66,6,0,16,97,2,19,19,5,242
11/4/2020,3,9,66,6,0,16,98,2,19,19,5,243
12/4/2020,3,11,64,6,2,17,93,4,17,22,5,244
13/4/2020,3,11,65,6,2,19,93,4,17,22,5,247
14/4/2020,4,11,65,6,2,19,93,4,19,22,5,250
15/4/2020,4,11,65,6,2,19,93,4,19,22,5,250
16/4/2020,4,11,65,6,2,19,93,4,19,23,5,251
17/4/2020,4,11,65,6,2,19,94,4,19,23,5,252
18/4/2020,4,11,65,6,2,19,94,4,19,23,5,252
19/4/2020,4,11,65,6,2,19,94,4,19,23,5,252
20/4/2020,4,11,65,6,2,19,94,4,19,23,5,252
21/4/2020,4,11,65,6,2,19,94,4,19,23,5,252
22/4/2020,4,11,65,6,2,19,94,4,19,23,5,252
23/4/2020,4,11,65,6,2,19,94,4,19,23,5,252
24/4/2020,4,11,65,6,2,19,94,4,19,23,5,252
25/4/2020,4,11,65,6,2,19,94,4,19,23,5,252
26/4/2020,4,11,65,6,2,19,94,4,19,23,5,252
27/4/2020,4,11,65,6,2,19,95,4,19,23,5,253
