date,perlis
13/3/2020,1
14/3/2020,2
15/3/2020,7
16/3/2020,8
17/3/2020,8
18/3/2020,8
19/3/2020,9
20/3/2020,9
21/3/2020,9
22/3/2020,9
23/3/2020,9
24/3/2020,9
25/3/2020,10
26/3/2020,10
27/3/2020,10
28/3/2020,10
29/3/2020,10
30/3/2020,11
31/3/2020,12
1/4/2020,12
2/4/2020,12
3/4/2020,12
4/4/2020,12
5/4/2020,13
6/4/2020,13
7/4/2020,17
5/4/2020,17
9/4/2020,17
10/4/2020,17
11/4/2020,17
12/4/2020,17
13/4/2020,17
14/4/2020,18
15/4/2020,18
16/4/2020,18
17/4/2020,18
18/4/2020,18
19/4/2020,18
20/4/2020,18
21/4/2020,18
22/4/2020,18
23/4/2020,18
24/4/2020,18
25/4/2020,18
26/4/2020,18
27/4/2020,18
28/4/2020,
,
