date,beaufort,keningau,kinabatangan,kota-belud,kota-kinabalu,kunak,lahad-datu,papar,penampang,putatan,ranau,sandakan,semporna,sipitang,tambunan,tawau,tuaran,kota-marudu,kudat,nabawan,pitas,tenom,kuala-penyu,tongod,beluran,telupid,total-sabah
21/3/2020,6,0,11,5,17,5,32,1,0,3,0,8,1,4,0,37,12,0,0,0,0,0,0,0,0,0,142
23/3/2020,6,0,11,5,23,5,34,2,1,4,2,11,1,4,0,48,12,0,0,0,0,0,0,0,0,0,169
24/3/2020,6,0,11,5,23,5,34,2,1,4,2,11,1,4,0,49,12,0,0,0,0,0,0,0,0,0,170
25/3/2020,6,0,11,5,23,5,34,2,1,4,2,11,1,4,0,49,12,0,0,0,0,0,0,0,0,0,170
26/3/2020,6,0,11,5,24,5,34,2,1,4,2,11,1,4,0,50,12,0,0,0,0,0,0,0,0,0,172
27/3/2020,7,0,11,5,26,7,34,2,1,6,2,11,1,4,0,53,12,0,0,0,0,0,0,0,0,0,182
28/3/2020,7,0,14,5,28,7,34,2,1,7,2,15,1,4,1,57,12,0,0,0,0,0,0,0,0,0,197
29/3/2020,7,0,14,5,28,7,34,2,1,7,2,15,1,4,1,57,12,0,0,0,0,0,0,0,0,0,197
30/3/2020,7,0,14,5,29,7,34,2,1,7,2,15,1,4,1,60,12,0,0,0,0,0,0,0,0,0,201
31/3/2020,7,0,14,5,29,7,35,2,1,7,2,16,1,4,1,63,12,0,0,0,0,0,0,0,0,0,206
1/4/2020,7,0,14,5,29,7,35,2,2,7,2,17,2,4,1,63,12,0,0,0,0,0,0,0,0,0,209
2/4/2020,8,0,14,5,29,7,35,2,2,7,2,17,2,4,1,63,12,0,0,0,0,0,0,0,0,0,210
3/4/2020,8,0,14,5,29,7,36,2,4,7,2,19,2,4,1,63,12,0,0,0,0,0,0,0,0,0,215
4/4/2020,8,0,14,5,29,7,38,2,4,7,2,19,2,4,1,67,16,0,0,0,0,0,0,0,0,0,225
5/4/2020,9,0,17,5,34,8,38,2,6,7,2,19,2,4,1,67,17,0,0,0,0,0,0,0,0,0,238
6/4/2020,9,1,17,5,34,8,38,3,6,7,2,19,2,4,1,67,17,0,0,0,0,0,0,0,0,0,240
7/4/2020,9,1,17,5,34,8,38,3,6,8,2,19,2,4,1,67,17,0,0,0,0,0,0,0,0,0,241
8/4/2020,9,4,17,5,35,8,38,4,6,8,2,19,2,4,3,67,17,0,0,0,0,0,0,0,0,0,248
9/4/2020,9,4,17,5,35,8,38,4,6,8,2,19,2,4,3,67,17,0,0,0,0,0,0,0,0,0,248
10/4/2020,9,4,17,5,35,8,38,4,7,8,2,19,2,4,3,67,18,0,0,0,0,0,0,0,0,0,250
11/4/2020,10,5,18,5,35,8,38,4,10,8,2,20,2,4,3,70,18,0,0,0,0,0,0,0,0,0,260
12/4/2020,10,7,18,5,37,8,38,4,10,8,2,20,2,4,3,71,19,0,0,0,0,0,0,0,0,0,266
13/4/2020,10,8,18,5,39,8,39,4,11,8,2,20,2,4,3,79,20,0,0,0,0,0,0,0,0,0,280
14/4/2020,10,11,19,5,40,8,39,4,11,8,2,20,2,4,3,79,20,0,0,0,0,0,0,0,0,0,285
15/4/2020,10,11,19,5,40,8,39,4,11,8,2,20,2,4,3,79,20,0,0,0,0,0,0,0,0,0,285
16/4/2020,10,12,19,5,42,8,39,4,11,8,2,20,2,4,3,79,20,0,0,0,0,0,0,0,0,0,288
17/4/2020,10,16,19,5,43,8,39,4,11,8,2,20,2,4,3,79,20,0,0,0,0,0,0,0,0,0,293
18/4/2020,11,16,19,5,44,8,42,4,12,8,2,21,2,4,3,81,21,0,0,0,0,0,0,0,0,0,303
19/4/2020,11,16,22,5,44,8,42,4,12,8,2,21,2,4,3,81,21,0,0,0,0,0,0,0,0,0,306
20/4/2020,11,16,22,5,44,8,42,4,12,8,3,21,2,4,3,81,22,0,0,0,0,0,0,0,0,0,308
21/4/2020,11,16,22,5,44,8,42,4,12,8,3,21,2,4,3,81,22,0,0,0,0,0,0,0,0,0,308
22/4/2020,11,16,22,5,44,8,42,4,12,8,3,21,2,4,3,81,22,0,0,0,0,0,0,0,0,0,308
23/4/2020,11,16,22,5,45,8,42,4,12,8,3,21,2,4,3,81,22,0,0,0,0,0,0,0,0,0,309
24/4/2020,11,16,22,5,47,8,42,4,12,8,3,21,2,4,3,81,22,0,0,0,0,0,0,0,0,0,311
25/4/2020,11,16,22,5,47,8,42,4,12,8,3,21,2,4,3,81,22,0,0,0,0,0,0,0,0,0,311
26/4/2020,11,16,22,5,47,8,42,4,12,8,3,21,2,4,3,81,22,0,0,0,0,0,0,0,0,0,311
27/4/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/4/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
