date,labuan
13/3/2020,2
14/3/2020,2
15/3/2020,4
16/3/2020,4
17/3/2020,4
18/3/2020,5
19/3/2020,5
20/3/2020,5
21/3/2020,5
22/3/2020,5
23/3/2020,5
24/3/2020,5
25/3/2020,5
26/3/2020,5
27/3/2020,5
28/3/2020,10
29/3/2020,10
30/3/2020,10
31/3/2020,10
1/4/2020,10
2/4/2020,10
3/4/2020,10
4/4/2020,11
5/4/2020,11
6/4/2020,12
7/4/2020,13
8/4/2020,13
9/4/2020,13
10/4/2020,13
11/4/2020,15
12/4/2020,15
13/4/2020,15
14/4/2020,15
15/4/2020,15
16/4/2020,15
17/4/2020,16
18/4/2020,16
19/4/2020,16
20/4/2020,16
21/4/2020,16
22/4/2020,16
23/4/2020,16
24/4/2020,16
25/4/2020,16
26/4/2020,16
27/4/2020,16
28/4/2020,
