date,wp-putrajaya
13/3/2020,1
14/3/2020,1
15/3/2020,1
16/3/2020,-
17/3/2020,-
18/3/2020,-
19/3/2020,6
20/3/2020,6
21/3/2020,9
22/3/2020,9
23/3/2020,13
24/3/2020,15
25/3/2020,16
26/3/2020,18
27/3/2020,34
28/3/2020,20
29/3/2020,22
30/3/2020,24
31/3/2020,26
1/4/2020,26
2/4/2020,34
3/4/2020,35
4/4/2020,36
5/4/2020,37
6/4/2020,41
7/4/2020,43
8/4/2020,45
9/4/2020,47
10/4/2020,49
11/4/2020,51
12/4/2020,52
13/4/2020,54
14/4/2020,54
15/4/2020,54
16/4/2020,55
17/4/2020,55
18/4/2020,55
19/4/2020,64
20/4/2020,77
21/4/2020,77
22/4/2020,78
23/4/2020,78
24/4/2020,78
25/4/2020,78
26/4/2020,79
27/4/2020,79
28/4/2020,
